Revenue,Expenses,Profit,Assets,Liabilities,Debt_Ratio,Market_Cap,Share_Price,Industry,Region,Company_Size,Listing_Status
599342.83,381928.52,217414.31,811256.98,212105.53,0.26,9573953.58,200.16,Retail,Asia,Large,Private
472347.14,258180.96,214166.18,1405080.99,1206188.63,0.86,4503274.25,57.08,Retail,Asia,Small,Listed
629537.71,476363.7,153174.01,920725.26,796792.82,0.87,8929831.13,140.76,Finance,Asia,Large,Listed
804605.97,575626.76,228979.21,1036227.71,571144.28,0.55,5821062.69,114.78,Retail,Africa,Large,Private
453169.33,327673.46,125495.87,1286956.24,322305.39,0.25,3922087.87,159.59,Finance,Africa,Large,Listed
453172.61,285881.83,167290.78,976414.64,553248.99,0.57,13042294.27,123.62,Manufacturing,South America,Medium,Listed
815842.56,715796.95,100045.61,272860.86,229966.97,0.84,11727385.26,158.71,Healthcare,Africa,Medium,Listed
653486.95,375555.62,277931.33,1416235.0,569621.93,0.4,5405657.67,147.11,Healthcare,Europe,Small,Private
406105.12,217682.59,188422.53,1501971.53,315698.55,0.21,8377235.09,151.74,Finance,Africa,Medium,Listed
608512.01,300167.81,308344.2,267553.56,175234.78,0.65,11533836.69,144.68,Manufacturing,North America,Medium,Listed
407316.46,167168.96,240147.5,582683.52,364186.03,0.63,11287894.42,154.77,Manufacturing,South America,Small,Private
406854.05,184449.14,222404.91,1809551.85,182964.86,0.1,12196486.26,160.31,Finance,Africa,Medium,Private
548392.45,377703.83,170688.62,1092813.87,855547.01,0.78,6188934.5,153.18,Retail,Asia,Large,Private
117343.95,-30338.55,147682.5,1001420.51,629490.61,0.63,11790183.52,140.5,Healthcare,Asia,Small,Listed
155016.43,-71132.15,226148.58,829446.64,212801.9,0.26,9761720.39,200.48,Manufacturing,Europe,Medium,Listed
387542.49,191118.19,196424.3,587718.94,60294.68,0.1,13859395.05,103.5,Manufacturing,Africa,Medium,Private
297433.78,164397.3,133036.48,922232.94,809573.07,0.88,15374200.19,258.27,Healthcare,North America,Small,Private
562849.47,438692.39,124157.08,1389769.1,978041.37,0.7,25146148.34,106.18,Healthcare,Asia,Large,Private
318395.18,166330.37,152064.81,993728.82,389582.4,0.39,16548185.82,125.86,Finance,South America,Small,Listed
217539.26,-73509.1,291048.36,1244113.63,555161.75,0.45,10630118.51,58.69,Technology,South America,Large,Listed
793129.75,482465.85,310663.9,1706282.86,906187.05,0.53,9811049.8,134.86,Finance,Europe,Large,Listed
454844.74,244595.28,210249.46,767808.73,518195.9,0.67,5320276.2,194.05,Finance,North America,Medium,Private
513505.64,306058.5,207447.14,1121149.96,267220.23,0.24,5444202.62,101.96,Finance,South America,Medium,Private
215050.36,31866.38,183183.98,1401757.42,359667.46,0.26,11357764.54,218.31,Technology,Africa,Large,Listed
391123.46,237847.73,153275.73,626838.55,86889.69,0.14,11512776.7,141.23,Technology,Europe,Small,Private
522184.52,253425.57,268758.95,1071221.13,951925.01,0.89,23381762.52,79.37,Manufacturing,South America,Large,Private
269801.28,-23877.54,293678.82,1748929.81,1399942.74,0.8,6361469.94,108.3,Healthcare,Africa,Large,Private
575139.6,419810.55,155329.05,863899.85,468550.26,0.54,5841742.61,173.48,Retail,South America,Large,Listed
379872.26,184014.18,195858.08,1427338.62,634050.82,0.44,11250448.85,123.36,Retail,South America,Medium,Private
441661.25,264154.57,177506.68,943545.25,273582.8,0.29,7481065.61,230.45,Technology,Africa,Large,Private
379658.68,200670.63,178988.05,1719834.81,990601.18,0.58,11946254.48,115.3,Manufacturing,South America,Medium,Private
870455.64,611160.23,259295.41,341812.84,223001.53,0.65,7631418.55,144.4,Healthcare,Africa,Medium,Listed
497300.56,362898.64,134401.92,1025982.48,668269.81,0.65,8573049.72,118.27,Healthcare,South America,Large,Private
288457.81,65134.33,223323.48,408458.12,42948.93,0.11,12147784.32,195.9,Healthcare,South America,Large,Listed
664508.98,428097.07,236411.91,719649.27,476142.36,0.66,7165327.04,75.31,Healthcare,Asia,Small,Listed
255831.27,62938.83,192892.44,717272.49,568867.58,0.79,8197417.14,46.91,Finance,South America,Large,Listed
541772.72,297119.33,244653.39,893217.48,171438.22,0.19,12643149.31,123.08,Finance,Africa,Large,Listed
108065.98,-99316.61,207382.59,524683.46,369535.41,0.7,10232751.83,139.18,Healthcare,Asia,Medium,Listed
234362.79,-26493.71,260856.5,971304.18,736822.49,0.76,6801280.36,65.27,Manufacturing,Asia,Small,Listed
539372.25,415482.52,123889.73,1184186.6,380047.53,0.32,7590267.12,171.46,Healthcare,South America,Medium,Private
647693.32,465132.08,182561.24,387238.75,259327.96,0.67,15212049.91,185.38,Technology,North America,Large,Listed
534273.66,337864.32,196409.34,746027.0,132348.1,0.18,11551603.72,132.32,Manufacturing,South America,Large,Listed
476870.34,410480.71,66389.63,2016396.85,1248895.12,0.62,8192508.94,115.91,Finance,Asia,Small,Listed
439779.26,294076.9,145702.36,1131694.86,575199.17,0.51,14329376.04,223.12,Healthcare,Asia,Small,Listed
204295.6,44975.56,159320.04,272903.52,212832.47,0.78,12180916.43,94.36,Finance,South America,Small,Listed
356031.16,108620.86,247410.3,439813.65,203006.58,0.46,16774318.83,176.55,Healthcare,South America,Small,Listed
407872.25,243214.42,164657.83,1090361.7,482459.61,0.44,14429023.11,126.11,Retail,Africa,Small,Private
711424.45,552328.4,159096.05,1040266.42,881134.66,0.85,15832370.54,159.15,Manufacturing,Europe,Medium,Listed
568723.66,327849.37,240874.29,765022.88,648290.64,0.85,8298993.87,189.44,Retail,South America,Medium,Listed
147391.97,28287.5,119104.47,1877325.98,241366.5,0.13,5555545.85,165.98,Technology,South America,Small,Private
564816.79,468378.99,96437.8,2047491.53,1000101.42,0.49,13859195.4,59.45,Technology,Europe,Small,Private
422983.54,241063.16,181920.38,894246.66,204573.3,0.23,13906604.63,195.68,Technology,Asia,Large,Private
364615.6,237000.94,127614.66,1349182.75,430342.04,0.32,9476547.37,54.1,Finance,Asia,Small,Private
622335.26,492819.22,129516.04,1369266.47,866625.56,0.63,4782817.47,183.15,Retail,Asia,Medium,Private
706199.9,477528.21,228671.69,1422349.26,289348.94,0.2,11534773.14,172.58,Technology,Europe,Medium,Listed
686256.02,442457.33,243798.69,743965.87,81104.48,0.11,11942221.82,135.77,Retail,Asia,Large,Private
332156.5,92713.29,239443.21,1775779.69,1210547.09,0.68,3211299.6,173.15,Finance,Asia,Medium,Listed
438157.52,182718.69,255438.83,972561.12,596253.33,0.61,11871367.65,94.29,Healthcare,Africa,Small,Private
566252.69,304195.97,262056.72,1168796.83,960904.61,0.82,15753211.9,83.3,Technology,North America,Large,Listed
695109.03,601538.54,93570.49,1000817.4,534284.46,0.53,3430727.36,177.63,Healthcare,Europe,Small,Listed
404165.15,181644.55,222520.6,944125.53,808421.23,0.86,12645863.61,133.32,Finance,South America,Medium,Listed
462868.2,289348.61,173519.59,1111361.78,652870.24,0.59,16551735.26,224.67,Finance,Asia,Large,Private
278733.01,116104.22,162628.79,525645.77,215367.74,0.41,16864269.53,131.87,Healthcare,Africa,Large,Private
260758.68,32737.95,228020.73,211538.79,124124.82,0.59,627995.99,98.85,Manufacturing,South America,Small,Private
662505.16,549019.93,113485.23,914647.81,639653.66,0.7,15438185.49,282.07,Healthcare,Asia,Small,Listed
771248.01,658803.44,112444.57,647828.95,244900.67,0.38,8432248.47,78.81,Healthcare,South America,Large,Listed
485597.98,253919.34,231678.64,1219001.47,485186.9,0.4,7851868.24,157.5,Retail,Europe,Medium,Listed
700706.58,476317.28,224389.3,1173516.06,708744.83,0.6,22561774.55,155.37,Retail,Europe,Medium,Listed
572327.21,365490.58,206836.63,1005392.01,466978.01,0.46,11099501.9,185.68,Manufacturing,Asia,Medium,Listed
370976.05,214971.72,156004.33,1592629.92,830681.63,0.52,8085897.94,133.15,Retail,Asia,Small,Private
572279.12,335087.64,237191.48,997508.93,883459.05,0.89,13996107.24,136.32,Healthcare,North America,Medium,Listed
807607.31,573592.17,234015.14,416739.66,56268.17,0.14,18428260.76,142.54,Manufacturing,Europe,Medium,Private
492834.79,288569.56,204265.23,910542.3,563006.79,0.62,10866555.83,240.04,Retail,Africa,Small,Private
812928.73,671794.78,141133.95,1468387.11,1230961.21,0.84,7331640.99,193.27,Technology,South America,Large,Private
-23949.02,-202686.6,178737.58,246298.13,71172.56,0.29,10456187.15,107.33,Healthcare,Africa,Large,Private
664380.5,422488.82,241891.68,962385.47,259480.37,0.27,15454288.0,123.57,Manufacturing,Asia,Small,Private
517409.41,251049.85,266359.56,1230184.81,480262.24,0.39,8445503.49,143.44,Technology,North America,Large,Private
440198.53,256525.36,183673.17,2060896.93,328224.27,0.16,15459070.65,105.21,Retail,North America,Large,Listed
518352.16,330835.81,187516.35,1483303.05,813188.02,0.55,9297962.2,69.65,Healthcare,North America,Large,Private
102486.22,-89429.32,191915.54,1053046.55,649063.25,0.62,726921.48,115.97,Manufacturing,Asia,Small,Listed
456065.62,242320.97,213744.65,1208303.69,913368.17,0.76,17599566.59,104.44,Healthcare,Asia,Medium,Private
571422.51,400475.88,170946.63,240921.86,36846.8,0.15,11676478.9,228.82,Technology,South America,Medium,Private
